folder,total-weight,pulp-weight,seed-weight,peel-weight
01,168.1777,94.5624,34.2122,38.6302
02,176.8975,120.2780,24.8445,30.1470
03,183.2259,124.0521,26.4469,31.5519
04,167.8004,108.1800,28.1736,30.4166
05,148.7894,95.8453,27.3969,23.1250
06,200.2020,113.4808,43.4747,42.1069
07,167.7318,104.8531,28.1331,34.2192
08,220.5748,157.6050,36.3460,26.5352
09,181.6351,104.0217,37.1722,40.3002
10,164.7790,88.5512,28.7577,45.8135
11,162.5700,105.8345,21.3224,34.4206
12,151.7122,103.8577,27.1920,19.0620
13,214.6933,130.4311,36.0022,47.6624
14,196.7346,133.0722,31.3600,30.9558
15,164.5684,100.3240,26.7697,36.8218
16,181.4846,118.1109,23.6563,39.1601
17,155.8017,83.6592,26.7006,44.6370
18,160.1475,97.1102,25.4946,37.3208
19,171.0829,109.3760,28.1728,32.2856
